long,lat,id,plaza,tipo,tipo_norma,materiales,dias_y_horario,cooperativa,calle,altura,calle2,direccion,barrio,comuna,observaciones
-58.3756007433316,-34.5964410008218,58,Plaza San Martín,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Amanecer,Marcelo T. de Alvear,600,,"ALVEAR, MARCELO T. DE 600",Retiro,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.365713127676,-34.6129170089403,59,UCA,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Ceibo,Juana Manuela Gorriti,1200,,GORRITI JUANA MANUELA 1200,Puerto Madero,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4733256266181,-34.6219906656818,60,Plaza de los Periodistas,Punto Verde Especial,punto_verde_especial,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,RUO,Nazca,0,Neuquén,NAZCA  AV. y NEUQUEN,Flores,Comuna 7,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)"
-58.4844870439414,-34.587979186870996,61,Plaza Nobel,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,Alamo,Bucarest,0,Hamburgo,BUCAREST y HAMBURGO,Parque Chas,Comuna 15,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4986913834034,-34.6162609940357,62,Club All Boys,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Alamo,Alvarez Jonte,4180,,ALVAREZ JONTE AV. 4180,Monte Castro,Comuna 10,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4247672943474,-34.650257238887804,63,Sede Comuna 4,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Trabajo y Dignidad,Del Barco Centenera,2906,,BARCO CENTENERA DEL 2906,Nueva Pompeya,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.3656815388326,-34.6080197146461,64,Puente de la Mujer,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Ceibo,Juana Manuela Gorriti,800,,GORRITI JUANA MANUELA 800,Puerto Madero,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.512684841440894,-34.6341355344141,65,Club Vélez Sarsfield,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RUO,Av. Juan B. Justo,8800,,"JUSTO, JUAN B. AV. 8800",Versalles,Comuna 10,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4671861182302,-34.5883928650398,66,Plaza Malaver,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,Amanecer,Montenegro,0,Heredia,MONTENEGRO y HEREDIA,Villa Ortuzar,Comuna 15,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.502843124424,-34.6601077710314,67,Parque Alberdi,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,Recolectores del Oeste,Directorio,0,Lisandro de la torre,"DIRECTORIO AV. y DE LA TORRE, LISANDRO AV.",Mataderos,Comuna 9,"Para entregar los materiales, éstos deben estar limpios y secos"
